(13.857944560383727, 17.43423711314647)
(13.772780774088996, 17.598902357484974)
(13.857322700501255, 18.0)
(14.622082946826538, 17.996731250716486)
(14.717148349334458, 16.68421017492517)
(15.40000725819769, 16.213126973748402)
(15.482103640385612, 15.716655002004483)
(15.167946899021, 12.781322453410008)
(15.049110918660542, 12.555388071045767)
(13.58590401730472, 12.5)
(13.31447327170659, 12.707183379077414)
(13.0, 15.701619326110396)
(13.109859722669995, 16.266635787244937)
(13.74856173337698, 16.68421017492517)
(13.857944560383725, 17.434237113146466)
(None, None)
(13.924180069168122, 17.87721938814639)
(None, None)
(13.930399744992997, 17.57724253836237)
(14.138678110115631, 17.50687808028038)
(14.004430042311165, 17.418674461082492)
(13.8871985767635, 16.619630553860382)
(13.258144764136098, 16.21034443617937)
(13.206682574010994, 15.78358226798062)
(15.275209435846548, 15.78358226798062)
(15.22258903976784, 16.21009952634689)
(14.573884713334314, 16.639930498752637)
(14.469572941500108, 17.418674461082492)
(14.32726083512616, 17.493797913545638)
(14.54060110092012, 17.590066917563185)
(14.54574377660216, 17.87721938814639)
(13.924180069168123, 17.87721938814639)
(None, None)
(13.15901185518873, 15.632182972901496)
(None, None)
(13.193758572296966, 15.245055271559211)
(13.591653367167222, 15.22869542398951)
(14.15013049883449, 15.037971407294997)
(15.275209435846548, 15.245055271559211)
(15.319824166763517, 15.632182972901496)
(13.159011855188732, 15.632182972901498)
(None, None)
(13.206682574010994, 15.09704852693002)
(None, None)
(13.302549049225155, 14.167624328666403)
(13.729340619527806, 14.047475700531855)
(14.041707709755064, 14.082649017396667)
(13.995479632624129, 14.353647239737438)
(14.10975473277971, 14.513907445791729)
(14.816677055834317, 14.738026221315177)
(15.053024306379548, 14.692554198284512)
(15.187635861732224, 14.354981966014455)
(15.260858408943264, 15.09704852693002)
(14.319854305143878, 14.885514067275551)
(13.206682574010998, 15.097048526930019)
(None, None)
(14.881565883640109, 14.598599398323884)
(None, None)
(14.136914522381739, 14.313800173052774)
(14.408601270913822, 13.400611751942407)
(15.108059013678453, 13.598672078209887)
(15.119952864755858, 14.051139655017781)
(14.979960616689578, 14.552530932614117)
(14.881565883640105, 14.598599398323884)
(None, None)
(13.325044889708636, 13.992248317907398)
(None, None)
(13.452124875362445, 12.788763555096873)
(13.54286364519655, 12.66068282091034)
(14.93270766622272, 12.670584544823544)
(15.081524422659339, 13.432396718657843)
(14.342876475597162, 13.256152538083699)
(14.085932028120254, 13.941144661129846)
(13.325044889708638, 13.992248317907396)
(None, None)
(13.517397115219087, 15.851365964470341)
(None, None)
(13.407089468189685, 16.05991196412847)
(13.885879251588529, 16.37239170857067)
(13.970064475553476, 16.277246931152224)
(13.564973596528853, 16.006709772572602)
(13.517397115219088, 15.851365964470341)
(None, None)
(None, None)
