(13.062058675011535, 9.314997458325994)
(11.376365263083668, 8.782389263433402)
(10.540851010875357, 9.561780796841692)
(11.193608152695193, 13.269854898954595)
(11.78342212132957, 14.14376641955444)
(15.061128629802534, 15.419287311217873)
(15.747803358701551, 16.56683906955827)
(16.087070140251956, 16.45758613495314)
(15.61717139915388, 15.223304832966459)
(12.156114354947618, 13.822576920206236)
(11.542927373470466, 12.782536010113377)
(11.195077399402381, 10.963605007449447)
(12.510509903627405, 10.723909486849081)
(12.426936072841691, 9.626876837004914)
(13.401050934704587, 9.83148402607317)
(13.757617962013498, 6.605244102316475)
(10.082506884015576, 6.802659319805132)
(8.588250054497951, 5.99323180237233)
(7.8704369591485595, 4.867976014927988)
(9.99988439494672, 5.483830189209524)
(15.24056141292758, 3.928132361519851)
(15.594080424412269, 4.106149585393516)
(15.885596866937204, 5.049063445440946)
(15.694623070396004, 10.470977860894633)
(14.065037344780535, 11.603444589486294)
(14.249401499679431, 11.990332860168223)
(16.14855050922492, 10.649980786456872)
(16.368076368512185, 4.928467818881398)
(15.74482084157342, 3.6343724991750213)
(17.0030328974854, 2.5319242167056464)
(17.05688213149027, 2.0)
(15.558033234919494, 3.192345779716156)
(14.022355101583033, 3.8538063739546793)
(5.979808148839288, 4.0273979618881715)
(2.0, 10.566004657668989)
(3.773086926235907, 11.400794129223936)
(4.60811870717472, 9.978798109804858)
(6.165776484917627, 9.629602012261568)
(6.177964969050789, 9.148157604834498)
(4.838482632123474, 9.530999988846986)
(7.346894785959527, 4.867976014927988)
(8.094137197082834, 6.199335439792047)
(9.143773129277111, 6.985337688591754)
(10.413235570511166, 7.325304554565845)
(13.281371931973819, 7.06441931099211)
(13.06205867501154, 9.31499745832599)
(None, None)
(3.590159805570715, 10.822093821857505)
(None, None)
(2.493669577988356, 10.290811707123293)
(6.287641282932392, 4.40487696906577)
(7.065393559356776, 4.40487696906577)
(3.5901598055707105, 10.822093821857505)
(None, None)
(11.09794784394234, 10.470977860894633)
(None, None)
(11.19144812738998, 9.358047281637567)
(11.793692531625013, 9.353115551947345)
(12.025801298887421, 10.10415831910888)
(11.097947843942348, 10.47097786089463)
(None, None)
(9.877766192140555, 4.997407522963867)
(None, None)
(8.034720573911006, 4.40487696906577)
(11.857759562218646, 4.40487696906577)
(9.877766192140559, 4.997407522963849)
(None, None)
(15.19837202057437, 13.563509533886045)
(None, None)
(13.431549346681763, 12.83480898041583)
(13.48427400744572, 11.856125316063956)
(12.980319523548848, 12.212688406292774)
(13.076614775945684, 13.124209063432943)
(15.59762665982636, 14.238750982196898)
(16.33118449638141, 15.108365716750505)
(16.948608849787043, 13.517312193998828)
(16.706164889365848, 12.259842456642435)
(16.134685544805155, 11.417746838185204)
(15.867538554302728, 11.668570336708393)
(16.428037382485872, 12.957484101096872)
(16.286437791550043, 14.316789278372777)
(15.198372020574366, 13.563509533886045)
(None, None)
(9.063595924861968, 7.988425164937855)
(None, None)
(7.332430311616623, 7.455073935656931)
(5.746977822170862, 8.510331660306708)
(6.53525964034404, 8.62450841465023)
(7.629335543038861, 7.9030621102083485)
(9.11079614642362, 8.485078870678024)
(9.063595924861973, 7.988425164937867)
(None, None)
(None, None)
