(7.4447985952308775, 13.849089472253668)
(6.3995956359086605, 14.218550653060209)
(5.0155133325251215, 15.48316471882124)
(4.967695461984732, 15.849504537070978)
(5.241558385143455, 15.897605659382192)
(6.2952124521500314, 14.795751822565464)
(7.611282603719867, 14.18923102022218)
(7.444798595230875, 13.849089472253674)
(None, None)
(8.797276738849682, 11.599265793684875)
(None, None)
(8.26574792219899, 12.782881398933098)
(8.375774554056772, 14.401530512021754)
(8.87612932188804, 14.98293617138069)
(9.725776697785085, 15.275487823963855)
(10.61603505101417, 15.093525316397209)
(11.273409424054204, 14.482746055906729)
(11.504348583193204, 13.015029774927475)
(10.895948310497113, 11.599265793684875)
(12.9161205461183, 9.839858539925864)
(13.426508837415993, 7.895980790230278)
(13.356434442628768, 6.842097112665829)
(12.691620622097416, 6.139391662634614)
(11.907174794703772, 6.004152352367469)
(9.623768446021815, 6.68046469022383)
(7.446968447710868, 6.005887841854784)
(6.528623359132161, 6.517636788310267)
(6.213352690380732, 7.524080700469522)
(6.769807008703156, 9.887950503981209)
(8.797276738849689, 11.599265793684879)
(None, None)
(9.817236601269826, 14.835319151225038)
(None, None)
(8.855397974324077, 14.33141228843858)
(8.635330973224711, 13.634606390590301)
(9.48147237252648, 13.230963131823927)
(8.635330973224711, 13.07488977069485)
(9.494401540250571, 11.593547117055367)
(10.28361489398554, 11.649191371397567)
(11.058098501476321, 13.07488977069485)
(10.327126421783754, 13.079966061091216)
(10.337525621323833, 13.408616614587748)
(11.09436355931761, 13.634606390590301)
(11.005631507759782, 14.028062070943303)
(10.556324203985243, 14.613765896030237)
(9.817236601269832, 14.835319151225036)
(None, None)
(9.134333262912362, 11.283224196037555)
(None, None)
(7.089834410137209, 9.522385964798898)
(6.672322608258966, 7.4564809972505275)
(6.882608592089466, 6.783971298063499)
(7.754999188116707, 6.461786473211)
(11.180058667812926, 7.846670451063698)
(7.352193909762417, 7.393214130299607)
(7.332573000722658, 7.804717789246741)
(8.012242493516407, 8.108825525334673)
(8.231059392689561, 9.176416495291573)
(8.450080717216945, 8.127346462428363)
(11.22102550880162, 8.304705899762656)
(11.248058063484516, 9.001291999470059)
(11.525476025323531, 9.144638328665318)
(11.656206202897103, 8.127346462428363)
(12.352233648996455, 7.471999661821777)
(11.703959965646401, 7.580385984637179)
(10.244485591620991, 6.948588984838467)
(12.04988855008288, 6.440469324351933)
(12.894816153401345, 6.914758387655686)
(12.934511305146415, 8.12317716644367)
(12.493532453843693, 9.693162905726824)
(10.538244825656697, 11.283224196037555)
(9.972193963505063, 11.058924118242972)
(9.134333262912367, 11.28322419603756)
(None, None)
(7.499461934953318, 12.868011312209024)
(None, None)
(5.9562346568381095, 13.28423637913757)
(5.2121037988635734, 14.051095738616803)
(7.530681120890954, 13.288300682260328)
(7.49946193495332, 12.868011312209026)
(None, None)
(15.067329433804126, 11.704013345194895)
(None, None)
(12.057281552133718, 13.166132165602686)
(12.036560671147884, 13.450716789740326)
(13.880977472534255, 12.94733063921617)
(15.133068702759303, 12.10244359388799)
(15.067329433804122, 11.704013345194891)
(None, None)
(14.190099353710862, 10.624443049479822)
(None, None)
(11.962149188045215, 12.16805889930836)
(12.019715367797794, 12.57968979259597)
(13.790797762387879, 11.541780729912858)
(14.345265066267132, 10.863379982637632)
(14.19009935371085, 10.62444304947982)
(None, None)
(17.352559583726425, 5.065749702192357)
(None, None)
(2.249659386422033, 5.061783850320198)
(2.0, 5.336527601445246)
(17.430282103406572, 5.5089847552446995)
(17.67670427533505, 5.222445497640004)
(17.352559583726425, 5.065749702192345)
(None, None)
(15.442736154321294, 3.9596858805684283)
(None, None)
(12.897777213772367, 3.154213024778455)
(10.07849907267407, 3.9277634714122214)
(6.87527969782972, 3.141252457319951)
(4.1892564691999326, 3.953584192595221)
(3.834199393225301, 3.7124669403792803)
(3.5169724883120415, 2.0475774663238)
(3.3678957402949274, 3.724727228344314)
(3.945589722090144, 4.347819633019417)
(4.664055124026727, 4.395205757211657)
(7.026232285605349, 3.567235318797131)
(10.113943812453886, 4.359912782814822)
(12.700906112307619, 3.5716142734251304)
(15.733318127731335, 4.362553958391542)
(16.329247145496822, 3.518495081058436)
(16.325158638412123, 2.178854849685587)
(16.08463569158602, 2.0)
(15.851922774533383, 3.6884451623135504)
(15.442736154321283, 3.9596858805684256)
(None, None)
(None, None)
