(13.62928584318702, 14.092642855698655)
(13.160496565151982, 14.33384121002189)
(13.0, 14.632332306587937)
(13.045868582015531, 14.897670829667458)
(13.235171541834736, 15.070170315299245)
(13.494690201962769, 15.105756494734178)
(13.923500405669374, 14.75641014239939)
(14.004368162854218, 14.529675737297918)
(13.945179851017516, 14.28114049757218)
(13.629285843187018, 14.092642855698651)
(None, None)
(13.402122253237247, 14.991815169188282)
(None, None)
(13.13272087249673, 14.799236740833617)
(13.14496319377342, 14.563322092818675)
(13.235254182340986, 14.671377441099747)
(13.518662398952277, 14.65340320255291)
(13.26976385969121, 14.527751370908291)
(13.271137766456594, 14.399246194731965)
(13.470202840030069, 14.236218354976458)
(13.703819459853598, 14.226455115303734)
(13.887816519412596, 14.516066913600937)
(13.611915125557035, 14.913891211678804)
(13.402122253237247, 14.991815169188285)
(None, None)
(14.394718366144998, 14.635540697100197)
(None, None)
(14.672643894215303, 14.997997892757736)
(14.961489495462295, 15.000112234032416)
(15.132877661412408, 14.693136578574457)
(14.985098001707522, 14.375529867482165)
(15.468992468149413, 14.08570128217399)
(16.01511062716549, 14.054893576994935)
(17.0908325839694, 14.605888107922375)
(17.34626216589479, 14.875591377934022)
(17.53613361911688, 14.468289422720328)
(17.515885979459412, 13.992765301238958)
(17.68024097173938, 13.749024470377737)
(18.0, 12.784511769363963)
(17.749290020153655, 12.776352295571686)
(17.570887954730676, 12.866112041462195)
(17.2775557592747, 13.234286422033149)
(16.927847204697997, 13.300913887018108)
(16.693655402752626, 13.219793656932284)
(16.848852670488217, 12.614599415341079)
(16.749075685354914, 12.5)
(15.984758537293382, 12.51986253737918)
(15.978327443746132, 13.167481386349499)
(15.057841398489192, 13.208164732213127)
(15.054291892851836, 12.866001167119435)
(14.802998343745328, 12.717086428945139)
(13.355220698289473, 13.427474659272981)
(13.289438492730293, 13.719981213000993)
(13.361052221176147, 13.853640328612848)
(13.59218048488098, 13.955008007522508)
(13.902081333734758, 13.839132296821072)
(13.699618772598699, 14.054893576994935)
(13.82026141212101, 14.105249802804446)
(13.978760674267525, 13.936385888780038)
(14.327413728001211, 14.522913070307395)
(14.03615389041991, 14.404643924138018)
(14.03615389041991, 14.543487321733593)
(14.394718366145, 14.635540697100197)
(None, None)
(14.80130135563349, 14.91463489035992)
(None, None)
(14.641355479106116, 14.814559441419258)
(14.02463230962124, 13.780212411577352)
(14.383411473187296, 13.600757230731807)
(14.995046063757117, 14.625694540212448)
(14.985519171543094, 14.817921166758378)
(14.80130135563349, 14.914634890359919)
(None, None)
(17.32960849611196, 14.67784612887337)
(None, None)
(16.66176233126645, 14.296011876607695)
(17.07153510498765, 14.247899568111993)
(17.415924935283783, 14.080787316036254)
(17.329608496111963, 14.67784612887337)
(None, None)
(14.922146755894495, 14.271656733759988)
(None, None)
(14.487189190091264, 13.54430625565923)
(15.009582243510266, 13.336000177742449)
(15.978327443746132, 13.287062513769243)
(15.745135228388312, 13.764549740868436)
(14.922146755894497, 14.271656733759988)
(None, None)
(16.645100169386797, 14.173150796062036)
(None, None)
(16.15620824709124, 14.00612365578814)
(16.396157690680944, 13.839132296821072)
(16.699849958007537, 14.089549919536429)
(16.74577683969899, 14.173150796062036)
(16.645100169386797, 14.173150796062034)
(None, None)
(16.878608977747433, 14.16167692367247)
(None, None)
(16.47958777110196, 13.743584280487584)
(16.66176233126645, 13.333959879918696)
(17.13848755965543, 13.590166631828396)
(17.385725512320807, 13.951294766625107)
(16.878608977747437, 14.16167692367247)
(None, None)
(15.683716090425259, 13.963591609071722)
(None, None)
(15.977166888986261, 13.676339277855176)
(16.083751100764196, 13.42250668721614)
(16.067422897748273, 12.722612398554865)
(16.39436862533954, 12.974381600500143)
(16.693655402752626, 12.740455343559846)
(16.503733187783247, 13.43316503206048)
(16.184403916871837, 13.859348735178989)
(15.683716090425257, 13.963591609071724)
(None, None)
(17.471481377685652, 13.86433426393038)
(None, None)
(17.124772441622966, 13.423317730170913)
(17.386205745166848, 13.297248068279359)
(17.59341214425378, 13.000788204939333)
(17.8168664053957, 12.881350202746903)
(17.471481377685656, 13.864334263930383)
(None, None)
(13.56895140361336, 13.839132296821072)
(None, None)
(13.41273869101503, 13.7085643044519)
(13.477105540742995, 13.471021463851047)
(14.710052534878018, 12.86101210794577)
(14.81418262609163, 12.832282103983205)
(14.97271690621043, 12.97210438271678)
(14.859994625933965, 13.225542520229343)
(13.56895140361336, 13.83913229682107)
(None, None)
(16.386663717269204, 12.832282103983205)
(None, None)
(16.12928877725418, 12.619061296594143)
(16.66176233126645, 12.619061296594143)
(16.386663717269208, 12.83228210398321)
(None, None)
(None, None)
