(6.203305575619461, 15.11560447211318)
(5.435563178858342, 16.835399441326608)
(3.9522818693847293, 17.73178009847995)
(4.057364843572753, 18.09381961248722)
(5.062059841014818, 18.372570902100403)
(6.654302789759961, 17.83906222946853)
(7.8118919866866285, 15.11560447211318)
(12.185231116215162, 15.557693578594947)
(14.539708686069325, 13.865009944063845)
(14.946863806565277, 12.690236729296592)
(14.773531998281614, 11.929292859543184)
(12.821700823368568, 9.176064655875852)
(14.767104597905401, 6.54040986770173)
(15.070632044996726, 2.7796953811690615)
(14.680221075364488, 2.056527714790485)
(13.92847665836057, 2.082927569089807)
(13.696581993662248, 2.41969898694003)
(12.936970190705196, 6.177626462060539)
(11.124606765538193, 7.620280090412893)
(8.196042954711185, 4.9313729046299155)
(7.163494939191947, 2.1147415269643806)
(6.829270119628882, 2.0)
(7.718264430779672, 5.326694356861448)
(6.5701400314589815, 9.084310541506015)
(6.810437758169708, 11.496006791280326)
(6.348710995301876, 14.688425965728372)
(2.0, 15.52158281488315)
(6.20330557561947, 15.11560447211318)
(None, None)
(4.905564431001352, 17.928513720352157)
(None, None)
(4.650058704253837, 17.861874763775106)
(6.180669700438823, 16.530281919634838)
(6.669974163834734, 15.11560447211318)
(7.299188737126708, 15.11560447211318)
(6.424511294695999, 17.421612334025554)
(4.9055644310013555, 17.928513720352154)
(None, None)
(11.5382063824548, 15.159991858342012)
(None, None)
(7.984366143407289, 14.711443296400695)
(8.161826646424469, 14.255326173116448)
(12.136300812342608, 14.348820166176175)
(12.136300812342608, 13.899336664304261)
(9.736042884804919, 13.954364557362274)
(11.85625122062085, 12.165959813814858)
(12.019997134317045, 11.39718275019721)
(11.659125280145382, 10.647125855247065)
(12.538369503448516, 9.503516236330281)
(14.032402444040196, 11.380129802030709)
(14.50267829763341, 12.817744727450432)
(13.696627583114102, 14.080125197306778)
(12.383300188475854, 15.006460831201826)
(11.538206382454804, 15.159991858342014)
(None, None)
(7.095416353205576, 14.688425965728372)
(None, None)
(6.810437758169708, 14.688425965728372)
(6.919068873915297, 14.192818760613658)
(7.704863625107778, 14.21485663040631)
(7.506789922668381, 14.688425965728372)
(7.095416353205576, 14.688425965728372)
(None, None)
(8.793044662424865, 13.864654844974009)
(None, None)
(8.314845148398891, 13.83504841383843)
(8.684547109526505, 12.655388579700592)
(9.917065063748185, 11.40055387646125)
(10.720237231784031, 11.401922628519646)
(11.374413810803972, 10.982769290331492)
(11.496938312002031, 11.90531031469489)
(8.793044662424872, 13.864654844974007)
(None, None)
(7.8118919866866285, 13.773164294622706)
(None, None)
(6.990658560029604, 13.747297623209514)
(7.376322884155147, 11.271084107207322)
(7.859146165868363, 10.66949104305732)
(8.972286003405088, 10.186779241800593)
(9.500037333752719, 11.145137191611887)
(8.389009213872573, 12.276037682321626)
(7.81189198668663, 13.773164294622697)
(None, None)
(10.274879931472487, 10.982769290331492)
(None, None)
(9.515440157462665, 10.516317252012525)
(9.734395609689106, 9.23848302648049)
(11.124606765538193, 8.196915422846038)
(12.217373460610114, 9.176064655875852)
(11.012520111809113, 10.701653332837461)
(10.274879931472487, 10.982769290331483)
(None, None)
(7.095416353205576, 10.868439493104166)
(None, None)
(7.0434037749865865, 8.888095677732444)
(8.161826646424469, 5.642748574352407)
(10.766124083577747, 7.899649045865177)
(9.489030330470747, 8.869145424800118)
(8.972286003405088, 9.742415649072427)
(7.7571322878258515, 10.192151673767501)
(7.095416353205585, 10.868439493104171)
(None, None)
(12.538369503448516, 8.859431666046904)
(None, None)
(11.480062022961464, 7.899649045865177)
(13.408316684081782, 6.291147758852641)
(14.32008043326045, 2.3894617829979397)
(14.628405457824211, 2.6985336910034006)
(14.32777543409876, 6.457687807312856)
(12.538369503448532, 8.859431666046897)
(None, None)
(13.509104277102953, 16.04017102157574)
(None, None)
(12.680841170670615, 15.68345136919871)
(12.2283701350319, 16.151384352367742)
(12.51839135084392, 17.788566426559427)
(13.323719045150236, 18.329193357846894)
(14.228025001107268, 18.048100088228512)
(14.556949334557132, 17.48686145342272)
(13.871460281633015, 15.191957899778624)
(13.44267902108147, 15.191957899778624)
(13.509104277102947, 16.04017102157574)
(None, None)
(13.44267902108147, 17.861874763775106)
(None, None)
(12.821700823368568, 17.386017051670535)
(13.871460281633015, 16.711279807948287)
(14.117537896036593, 17.40231481769043)
(13.442679021081476, 17.861874763775106)
(None, None)
(12.754385148365564, 16.97880619094634)
(None, None)
(12.754385148365564, 16.103123643569294)
(13.509104277102953, 16.532305592662524)
(12.754385148365554, 16.978806190946337)
(None, None)
(None, None)
