(4.97870786592616, 19.13123618931793)
(4.683026709075293, 19.702939398597998)
(4.976548823245599, 21.095515047343394)
(7.631728967120961, 21.084166238047153)
(7.961787662406732, 16.527208792096523)
(10.3326135841177, 14.891649454528958)
(10.617644984372593, 13.167942544161638)
(9.526920478563087, 2.9767267531357)
(9.114332432901456, 2.19230249892687)
(4.034207087043864, 2.0)
(3.09182347124736, 2.719322424133125)
(2.0, 13.11574000320118)
(2.3814232704257963, 15.077427336945055)
(4.598940335193738, 16.527208792096523)
(4.978707865926154, 19.131236189317924)
(None, None)
(5.208671712228131, 20.669231588948364)
(None, None)
(5.2302658782833165, 19.627738416420105)
(5.953389997417015, 19.383439222219593)
(5.4872925430830195, 19.0772040335608)
(5.080275231376197, 16.302994041952104)
(2.8962558596279555, 14.88198872943455)
(2.7175836731001124, 13.40030811043889)
(9.899326548739172, 13.40030811043889)
(9.716633173263148, 14.881138424090663)
(7.4643889502289325, 16.373473660706694)
(7.102227675924362, 19.0772040335608)
(6.608132590709295, 19.33802603663687)
(7.34883118264981, 19.672263530238652)
(7.36668609917163, 20.669231588948364)
(5.20867171222814, 20.669231588948364)
(None, None)
(2.5520751406295257, 12.87466310728605)
(None, None)
(2.6727126786997273, 11.53058986251786)
(4.054168322827831, 11.473789914256134)
(5.993151681255009, 10.81161294504162)
(9.899326548739172, 11.53058986251786)
(10.054224960658834, 12.87466310728605)
(2.5520751406295323, 12.874663107286061)
(None, None)
(2.7175836731001124, 11.016723495395125)
(None, None)
(3.0504236221887977, 7.789844629339131)
(4.532206322696723, 7.372699186346234)
(5.616717317556629, 7.494817841156601)
(5.456217509835987, 8.435699774340506)
(5.852970581573723, 8.992109079104157)
(8.307342555608674, 9.770229706449642)
(9.127919370005893, 9.61235485190142)
(9.5952788210574, 8.440333826287208)
(9.84950104870708, 11.016723495395125)
(6.58241777166834, 10.282294503147204)
(2.717583673100119, 11.01672349539512)
(None, None)
(8.532630844294124, 9.286152070734458)
(None, None)
(5.947266976306129, 8.297354272255149)
(6.8905394117167145, 5.126844592914637)
(9.318995021160866, 5.814492582100531)
(9.360289423382586, 7.385420113258745)
(8.874248681662387, 9.12620641979466)
(8.532630844294111, 9.286152070734458)
(None, None)
(3.128527196816968, 7.180954583449745)
(None, None)
(3.5697377019566954, 3.0025616020866748)
(3.8847747100920733, 2.5578765862805453)
(8.710190604085799, 2.592254498640402)
(9.226869260782575, 5.237199194768083)
(6.662348717543467, 4.62529493982985)
(5.770260251520446, 7.003527193091558)
(3.1285271968169734, 7.180954583449737)
(None, None)
(3.796357163476025, 13.635647127945074)
(None, None)
(3.4133787391693016, 14.359700450587814)
(5.075694650697825, 15.444602570948913)
(5.367978325422672, 15.114268292972536)
(3.961538511612441, 14.174987132513863)
(3.7963571634760296, 13.635647127945075)
(None, None)
(None, None)
